Province,Latitude,Longitude
Hà Nội,21.0283334,105.854041
TP Hồ Chí Minh,10.7763897,106.7011391
Hải Phòng,20.858864,106.6749591
Đà Nẵng,16.068,108.212
Cần Thơ,10.0364634,105.7875821
Hà Giang,22.7336097,105.0027271
Cao Bằng,22.7426936,106.1060926
Lai Châu,22.2921668,103.1798662
Lào Cai,22.3069302,104.1829592
Tuyên Quang,22.0747798,105.258411
Lạng Sơn,21.8487579,106.6140692
Bắc Kạn,22.2571701,105.8204437
Thái Nguyên,21.6498502,105.8351394
Yên Bái,21.8268679,104.663122
Sơn La,21.2276769,104.1575944
Phú Thọ,21.3007538,105.1349604
Vĩnh Phúc,21.3778689,105.5758286
Quảng Ninh,21.1718046,107.2012742
Bắc Giang,21.3169625,106.437985
Bắc Ninh,21.0955822,106.1264766
Hải Dương,20.8930571,106.3725441
Hưng Yên,20.7833912,106.0699025
Hòa Bình,20.6763365,105.3759952
Hà Nam,20.5340294,105.98102482169935
Nam Định,20.2686476,106.2289075
Thái Bình,20.5296832,106.3876068
Ninh Bình,20.2421142,105.9746207
Thanh Hóa,19.9781573,105.4816107
Nghệ An,19.1976001,105.060676
Hà Tĩnh,18.3504832,105.7623047
Quảng Bình,17.509599,106.4004452
Quảng Trị,16.7897806,106.9797431
Thừa Thiên Huế,16.4639321,107.5863388
Quảng Nam,15.5761698,108.0527132
Quảng Ngãi,14.9953739,108.691729
Bình Định,14.0779378,108.9898798
Phú Yên,13.1912633,109.1273678
Khánh Hòa,12.2980751,108.9950386
Ninh Thuận,11.6965639,108.8928476
Bình Thuận,11.1041572,108.1832931
Kon Tum,14.6995372,107.9323831
Gia Lai,13.8177445,108.2004015
Đắk Lắk,12.8292274,108.2999058
Đắk Nông,12.2818851,107.7302484
Lâm Đồng,11.6614957,108.1335279
Bình Phước,11.7543232,106.9266473
Tây Ninh,11.4019366,106.1626927
Bình Dương,11.1836551,106.7031737
Đồng Nai,11.0355624,107.1881076
Bà Rịa - Vũng Tàu,10.5738801,107.3284362
Long An,10.6983968,106.1883517
Tiền Giang,10.4030368,106.361633
Bến Tre,10.1093637,106.4811559
Trà Vinh,9.8037998,106.3256808
Vĩnh Long,10.1203043,106.0125705
Đồng Tháp,10.590424,105.6802341
An Giang,10.5392057,105.2312822
Kiên Giang,9.9904962,105.2435248
Hậu Giang,9.7985063,105.6379524
Sóc Trăng,9.5628369,105.9493991
Bạc Liêu,9.3298341,105.509946
Cà Mau,9.0180177,105.0869724
